Disciplina,Pré-Requisitos,Dependentes,Termo,Segunda,Terça,Quarta,Quinta,Sexta
Cálculo em Uma Variável,-,4,1,-,15h30,-,15h30,15h30
Ciência Tecnologia e Sociedade,-,0,1,15h30,-,15h30,-,-
Lógica de Programação,-,15,1,-,-,13h30,-,13h30
Química Geral,-,0,1,-,-,-,"13h30, 15h30",-
Fundamentos da Biologia Moderna,-,0,1,-,15h30,-,15h30,-
Fenômenos Mecânicos,-,0,2,-,08h00/10h00,-,08h00/10h00,-
CIência Tecnologia Sociedade e Ambiente,-,0,2,-,-,-,-,08h00/10h00
Séries e Equações Diferenciais Ordinárias,Cálculo em Uma Variável,0,2,-,08h00/10h00/13h30/15h30,-,08h00/10h00/13h30/15h30,-
Matemática Discreta,-,2,2,13h30/15h30,-,13h30/15h30,-,-
Algoritmos e Estruturas de Dados I,Lógica de Programação,12,2,-,13h30,-,13h30,-
Geometria Analítica,-,3,2,10h00/13h30/15h30,-,10h00/13h30/15h30,-,-
Álgebra Linear,Geometria Analítica,0,3,-,08h00/10h00/13h30/15h30,-,08h00/10h00/13h30/15h30,-
Algoritmos e Estruturas de Dados II,Algoritmos e Estruturas de Dados I,2,3,13h30,-,13h30,-,-
Circuitos Digitais,-,1,3,-,10h00/13h30/15h30,-,10h00/13h30/15h30,-
Cálculo em Várias Variáveis,Cálculo em Uma Variável,0,3,13h30/15h30,-,13h30/15h30,-,-
Probabilidade e Estatística,Cálculo em Uma Variável,0,3,08h00/10h00,-,08h00/10h00,-,-
Banco de Dados,Algoritmos e Estruturas de Dados I,0,4,-,13h30,-,13h30,-
Projeto e Análise de Algoritmos,Algoritmos e Estruturas de Dados II,1,4,-,15h30,-,15h30,-
Programação Orientada a Objetos,Algoritmos e Estruturas de Dados I,2,4,13h30,-,13h30,-,-
Arquitetura e Organização de Computadores,Circuitos Digitais,0,4,-,13h30,-,13h30,"10h00,12h00"
Cálculo Numérico,"Cálculo em Uma Variável, Geometria Analítica",0,4,08h00/10h00,-,08h00/10h00,-,-
Linguagens Formais e Autômatos,"Lógica de Programação, Matemática Discreta",1,5,-,15h30,-,15h30,-
Teorema dos Grafos,Projeto e Análise de Algoritmos,0,5,15h30,-,15h30,-,-
Projetos Orientados a Objetos,Programação Orientada a Objetos,0,5,13h30,-,13h30,-,-
Sistemas Operacionais,Algoritmos e Estruturas de Dados I,2,5,-,13h30,-,13h30,-
Inteligência Artificial,Algoritmos e Estruturas de Dados I,0,5,-,13h30,-,13h30,-
Computação Gráfica,Algoritmos e Estruturas de Dados I,0,6,-,15h30,-,15h30,-
Compiladores,Linguagens Formais e Autômatos,0,6,13h30,-,13h30,-,-
Engenharia de Software,Programação Orientada a Objetos,0,6,15h30,-,15h30,-,15h30
Programação Concorrente e Distribuida,Sistemas Operacionais,0,6,-,13h30,-,13h30,-
Redes de Computadores,Sistemas Operacionais,0,6,13h30,-,13h30,-,-
